ID,Number,Latitude,Longitude,Destination,Validity
1001,01,52.248455,21.044827,al.Zieleniecka,2020-10-12 00:00:00.0
1001,02,52.249078,21.044443,Ząbkowska,2020-10-12 00:00:00.0
1001,03,52.248998,21.043983,al.Zieleniecka,2020-10-12 00:00:00.0
1001,03,52.248928,21.044169,al.Zieleniecka,2020-11-19 00:00:00.0
1001,04,52.249905,21.041726,Ząbkowska,2020-10-12 00:00:00.0
1001,04,52.249968,21.041587,Ząbkowska,2020-11-19 00:00:00.0
1001,04,52.249969,21.041588,Ząbkowska,2020-12-09 00:00:00.0
1001,05,52.250319,21.043861,al.Zieleniecka,2020-10-12 00:00:00.0
1001,06,52.250008,21.043710,Dw.Wschodni (Kijowska),2020-10-12 00:00:00.0
1001,06,52.250078,21.043848,Dw.Wschodni (Kijowska),2020-11-19 00:00:00.0
1001,07,52.250228,21.043690,Ząbkowska,2020-10-12 00:00:00.0
1001,08,52.249944,21.044087,Dw.Wschodni (Kijowska),2020-10-12 00:00:00.0
1001,88,52.249944,21.044087,Dw.Wschodni (Kijowska),2020-10-12 00:00:00.0
1002,01,52.251325,21.038457,Kijowska,2020-10-12 00:00:00.0
1002,02,52.251790,21.038592,Dw.Wileński,2020-10-12 00:00:00.0
1002,03,52.251616,21.038379,Kijowska,2020-10-12 00:00:00.0
1002,04,52.251880,21.038002,Dw.Wileński,2020-10-12 00:00:00.0
1002,06,52.253108,21.036732,Dw.Wileński,2020-10-12 00:00:00.0
1003,01,52.253739,21.035454,Ząbkowska,2020-10-12 00:00:00.0
1003,02,52.255298,21.034611,Wileńska,2020-10-12 00:00:00.0
1003,03,52.254118,21.033248,Park Praski,2020-10-12 00:00:00.0
1003,04,52.255099,21.036174,Szwedzka,2020-10-12 00:00:00.0
1003,05,52.254287,21.033324,Park Praski,2020-10-12 00:00:00.0
1003,06,52.256048,21.038309,______________________________,2020-10-12 00:00:00.0
1003,07,52.253857,21.035613,Ząbkowska,2020-10-12 00:00:00.0
1003,08,52.255370,21.034193,11 Listopada,2020-10-12 00:00:00.0
1003,09,52.255999,21.035241,Targowa,2020-10-12 00:00:00.0
1003,10,52.255856,21.035227,______________________________,2020-10-12 00:00:00.0
1003,11,52.256139,21.035580,null,2020-10-12 00:00:00.0
1003,12,52.255985,21.035521,______________________________,2020-10-12 00:00:00.0
1003,13,52.256291,21.035926,null,2020-10-12 00:00:00.0
1003,14,52.256246,21.036138,______________________________,2020-10-12 00:00:00.0
1004,01,52.256614,21.028536,Dw.Wileński,2020-10-12 00:00:00.0
1004,02,52.257011,21.028103,pl.Hallera,2020-10-12 00:00:00.0
1004,04,52.255951,21.027758,null,2020-10-12 00:00:00.0
1004,05,52.255816,21.029591,null,2020-10-12 00:00:00.0
1004,06,52.255522,21.029812,null,2020-10-12 00:00:00.0
1004,71,52.255870,21.029455,______________________________,2020-10-12 00:00:00.0
1005,01,52.258094,21.027097,św.Cyryla i Metodego,2020-10-12 00:00:00.0
1005,02,52.260034,21.024845,______________________________,2020-10-12 00:00:00.0
1005,03,52.259193,21.025233,Ratuszowa-ZOO,2020-10-12 00:00:00.0
1005,04,52.258983,21.025560,rondo Starzyńskiego,2020-10-12 00:00:00.0
1005,05,52.259699,21.025992,rondo Starzyńskiego,2020-10-12 00:00:00.0
1005,06,52.259900,21.028465,Dąbrowszczaków,2020-10-12 00:00:00.0
1005,07,52.261451,21.029709,Jagiellońska,2020-10-12 00:00:00.0
1005,08,52.260974,21.030804,Dąbrowszczaków,2020-10-12 00:00:00.0
1005,09,52.259662,21.027361,Dąbrowszczaków,2020-10-12 00:00:00.0
1005,10,52.259771,21.027364,______________________________,2020-10-12 00:00:00.0
1005,11,52.259600,21.027130,Dąbrowszczaków,2020-10-12 00:00:00.0
1005,12,52.259870,21.026924,null,2020-10-12 00:00:00.0
1005,18,52.259927,21.027177,Dąbrowszczaków,2020-10-12 00:00:00.0
1006,01,52.263615,21.019547,Wybrzeże Helskie,2020-10-12 00:00:00.0
1006,02,52.263264,21.020062,Namysłowska,2020-10-12 00:00:00.0
1006,03,52.263453,21.019762,Wybrzeże Helskie,2020-10-12 00:00:00.0
1006,04,52.263465,21.020062,Namysłowska,2020-10-12 00:00:00.0
1006,05,52.263049,21.021071,pl.Hallera,2020-10-12 00:00:00.0
1006,06,52.263146,21.021061,Starzyńskiego,2020-10-12 00:00:00.0
1006,07,52.264116,21.022528,Wybrzeże Helskie,2020-10-12 00:00:00.0
1006,08,52.264224,21.022909,Namysłowska,2020-10-12 00:00:00.0
1006,09,52.262572,21.021846,pl.Hallera,2020-10-12 00:00:00.0
1006,10,52.262745,21.022003,Starzyńskiego,2020-10-12 00:00:00.0
1006,12,52.264087,21.023168,Namysłowska,2020-10-12 00:00:00.0
1007,01,52.266656,21.020014,rondo Starzyńskiego,2020-10-12 00:00:00.0
1007,02,52.266819,21.020003,PIMot,2020-10-12 00:00:00.0
1007,03,52.266739,21.020309,rondo Starzyńskiego,2020-10-12 00:00:00.0
1007,04,52.266724,21.020689,PIMot,2020-10-12 00:00:00.0
1008,01,52.269904,21.017729,rondo Starzyńskiego,2020-10-12 00:00:00.0
1008,02,52.270821,21.017146,Śliwice,2020-10-12 00:00:00.0
1008,03,52.270517,21.016711,Golędzinów,2020-10-12 00:00:00.0
1008,04,52.270007,21.017369,Batalionu Platerówek,2020-10-12 00:00:00.0
1009,01,52.273735,21.014418,PIMot,2020-10-12 00:00:00.0
1009,02,52.273851,21.014401,Śliwice,2020-10-12 00:00:00.0
1010,01,52.278146,21.011972,PIMot,2020-10-12 00:00:00.0
1010,02,52.278418,21.012260,Budzińskiej-Tylickiej,2020-10-12 00:00:00.0
1010,03,52.278018,21.011818,Batalionu Platerówek,2020-10-12 00:00:00.0
1010,04,52.278304,21.011682,Budzińskiej-Tylickiej,2020-10-12 00:00:00.0
1011,01,52.282073,21.009617,Śliwice,2020-10-12 00:00:00.0
