Brigade,Destination,Time
1,Torwar,05:29:00
3,Torwar,05:59:00
4,Torwar,06:32:00
6,Torwar,06:50:00
08,Torwar,07:08:00
1,Torwar,07:26:00
2,Torwar,07:45:00
3,Torwar,08:01:00
07,Torwar,08:16:00
4,Torwar,08:31:00
5,Torwar,08:46:00
6,Torwar,09:01:00
08,Torwar,09:15:00
1,Torwar,09:28:00
2,Torwar,09:42:00
3,Torwar,09:57:00
07,Torwar,10:12:00
4,Torwar,10:26:00
5,Torwar,10:46:00
6,Torwar,11:06:00
1,Torwar,11:26:00
2,Torwar,11:46:00
3,Torwar,12:06:00
4,Torwar,12:26:00
5,Torwar,12:46:00
6,Torwar,13:06:00
1,Torwar,13:26:00
2,Torwar,13:46:00
3,Torwar,14:06:00
4,Torwar,14:26:00
5,Torwar,14:46:00
6,Torwar,15:06:00
1,Torwar,15:27:00
2,Torwar,15:44:00
3,Torwar,15:59:00
4,Torwar,16:14:00
07,Torwar,16:29:00
5,Torwar,16:44:00
6,Torwar,16:59:00
08,Torwar,17:14:00
1,Torwar,17:29:00
2,Torwar,17:44:00
3,Torwar,17:59:00
4,Torwar,18:14:00
07,Torwar,18:29:00
5,Torwar,18:44:00
6,Torwar,18:59:00
08,Torwar,19:11:00
1,Torwar,19:29:00
2,Torwar,19:49:00
3,Torwar,20:09:00
4,Torwar,20:28:00
5,Torwar,20:48:00
6,Torwar,21:08:00
1,Torwar,21:25:00
2,Torwar,21:44:00
3,Torwar,22:04:00
4,Torwar,22:29:00
6,Torwar,22:59:00
